"","conv","QuestionID","HTMLID","ParticipantID","QuestionnaireID","Answer"
"37","ES2001",929,"vraag05","PARTICIPANT3","pre","4"
"38","ES2001",930,"vraag06","PARTICIPANT3","pre","5"
"39","ES2001",931,"vraag07","PARTICIPANT3","pre","4"
"40","ES2001",932,"vraag08","PARTICIPANT3","pre","3"
"41","ES2001",933,"vraag09","PARTICIPANT3","pre","4"
"42","ES2001",934,"vraag10","PARTICIPANT3","pre","2"
"43","ES2001",935,"vraag11","PARTICIPANT3","pre","1"
"44","ES2001",936,"vraag12","PARTICIPANT3","pre","0"
"45","ES2001",937,"vraag13","PARTICIPANT3","pre","0"
"46","ES2001",938,"vraag14","PARTICIPANT3","pre","unsure"
"47","ES2001",939,"vraag15","PARTICIPANT3","pre","4"
"48","ES2001",940,"vraag16","PARTICIPANT3","pre","1"
"49","ES2001",941,"vraag17","PARTICIPANT3","pre","1"
"50","ES2001",942,"vraag18","PARTICIPANT3","pre","1"
"51","ES2001",943,"vraag19","PARTICIPANT3","pre","4096"
"52","ES2001",944,"vraag20","PARTICIPANT3","pre","16384"
"53","ES2001",945,"vraag21","PARTICIPANT3","pre","4096"
"54","ES2001",946,"vraag22","PARTICIPANT3","pre","64"
"55","ES2001",947,"vraag23","PARTICIPANT3","pre","32"
"56","ES2001",948,"vraag24","PARTICIPANT3","pre","2"
"57","ES2001",949,"vraag25","PARTICIPANT3","pre","2"
"58","ES2001",950,"vraag03_other","PARTICIPANT3","pre",""
"59","ES2001",951,"vraag15_other","PARTICIPANT3","pre",""
"60","ES2001",952,"vraag19_other","PARTICIPANT3","pre",""
"61","ES2001",953,"vraag20_other","PARTICIPANT3","pre",""
"62","ES2001",954,"vraag21_other","PARTICIPANT3","pre",""
"63","ES2001",955,"vraag22_other","PARTICIPANT3","pre",""
"64","ES2001",956,"vraag23_other","PARTICIPANT3","pre",""
"65","ES2001",957,"vraag01","PARTICIPANT4","pre","1"
"66","ES2001",958,"vraag02","PARTICIPANT4","pre","23"
"67","ES2001",959,"vraag03","PARTICIPANT4","pre","4"
"68","ES2001",960,"vraag04","PARTICIPANT4","pre","student"
"69","ES2001",961,"vraag05","PARTICIPANT4","pre","4"
"70","ES2001",962,"vraag06","PARTICIPANT4","pre","4"
"71","ES2001",963,"vraag07","PARTICIPANT4","pre","4"
"72","ES2001",964,"vraag08","PARTICIPANT4","pre","3"
"73","ES2001",965,"vraag09","PARTICIPANT4","pre","3"
"74","ES2001",966,"vraag10","PARTICIPANT4","pre","2"
"75","ES2001",967,"vraag11","PARTICIPANT4","pre","1"
"76","ES2001",968,"vraag12","PARTICIPANT4","pre","0"
"77","ES2001",969,"vraag13","PARTICIPANT4","pre","0"
"78","ES2001",970,"vraag14","PARTICIPANT4","pre","-"
"79","ES2001",971,"vraag15","PARTICIPANT4","pre","8"
"80","ES2001",972,"vraag16","PARTICIPANT4","pre","1"
"81","ES2001",973,"vraag17","PARTICIPANT4","pre","1"
"82","ES2001",974,"vraag18","PARTICIPANT4","pre","1"
"83","ES2001",975,"vraag19","PARTICIPANT4","pre","4096"
"84","ES2001",976,"vraag20","PARTICIPANT4","pre","16384"
"85","ES2001",977,"vraag21","PARTICIPANT4","pre","4096"
"86","ES2001",978,"vraag22","PARTICIPANT4","pre","64"
"87","ES2001",979,"vraag23","PARTICIPANT4","pre","32"
"88","ES2001",980,"vraag24","PARTICIPANT4","pre","2"
"89","ES2001",981,"vraag25","PARTICIPANT4","pre","1"
"90","ES2001",982,"vraag03_other","PARTICIPANT4","pre",""
"91","ES2001",983,"vraag15_other","PARTICIPANT4","pre","-"
"92","ES2001",984,"vraag19_other","PARTICIPANT4","pre","-"
"93","ES2001",985,"vraag20_other","PARTICIPANT4","pre","-"
"94","ES2001",986,"vraag21_other","PARTICIPANT4","pre","-"
"95","ES2001",987,"vraag22_other","PARTICIPANT4","pre","-"
"96","ES2001",988,"vraag23_other","PARTICIPANT4","pre","-"
"97","ES2001",989,"vraag01","PARTICIPANT2","pre","2"
"98","ES2001",990,"vraag02","PARTICIPANT2","pre","24"
"99","ES2001",991,"vraag03","PARTICIPANT2","pre","4"
"100","ES2001",992,"vraag04","PARTICIPANT2","pre","Computer Science Undergraduate Honours degree"
"101","ES2001",993,"vraag05","PARTICIPANT2","pre","4"
"102","ES2001",994,"vraag06","PARTICIPANT2","pre","6"
"103","ES2001",995,"vraag07","PARTICIPANT2","pre","5"
"104","ES2001",996,"vraag08","PARTICIPANT2","pre","4"
"105","ES2001",997,"vraag09","PARTICIPANT2","pre","3"
"106","ES2001",998,"vraag10","PARTICIPANT2","pre","2"
"107","ES2001",999,"vraag11","PARTICIPANT2","pre","2"
"108","ES2001",1000,"vraag12","PARTICIPANT2","pre","20"
"109","ES2001",1001,"vraag13","PARTICIPANT2","pre","15"
"110","ES2001",1002,"vraag14","PARTICIPANT2","pre","They are team briefings with not much interaction."
"111","ES2001",1003,"vraag15","PARTICIPANT2","pre","4"
"112","ES2001",1004,"vraag16","PARTICIPANT2","pre","4"
"113","ES2001",1005,"vraag17","PARTICIPANT2","pre","2"
"114","ES2001",1006,"vraag18","PARTICIPANT2","pre","3"
"115","ES2001",1007,"vraag19","PARTICIPANT2","pre","2"
"116","ES2001",1008,"vraag20","PARTICIPANT2","pre","2"
"117","ES2001",1009,"vraag21","PARTICIPANT2","pre","2"
"118","ES2001",1010,"vraag22","PARTICIPANT2","pre","2"
"119","ES2001",1011,"vraag23","PARTICIPANT2","pre","2"
"120","ES2001",1012,"vraag24","PARTICIPANT2","pre","1"
"121","ES2001",1013,"vraag25","PARTICIPANT2","pre","1"
"122","ES2001",1014,"vraag03_other","PARTICIPANT2","pre",""
"123","ES2001",1015,"vraag15_other","PARTICIPANT2","pre",""
"124","ES2001",1016,"vraag19_other","PARTICIPANT2","pre",""
"125","ES2001",1017,"vraag20_other","PARTICIPANT2","pre",""
"126","ES2001",1018,"vraag21_other","PARTICIPANT2","pre",""
"127","ES2001",1019,"vraag22_other","PARTICIPANT2","pre",""
"128","ES2001",1020,"vraag23_other","PARTICIPANT2","pre",""
"129","ES2001",1021,"vraag01","PARTICIPANT3","1","10"
"130","ES2001",1022,"vraag01","PARTICIPANT2","1","40"
"131","ES2001",1023,"vraag01","PARTICIPANT4","1","19"
"132","ES2001",1024,"vraag01","PARTICIPANT1","1","30"
"133","ES2001",1025,"vraag01","PARTICIPANT2","2","6"
"134","ES2001",1026,"vraag02","PARTICIPANT2","2","6"
"135","ES2001",1027,"vraag03","PARTICIPANT2","2","6"
"136","ES2001",1028,"vraag04","PARTICIPANT2","2","6"
"137","ES2001",1029,"vraag05","PARTICIPANT2","2","6"
"138","ES2001",1030,"vraag06","PARTICIPANT2","2","5"
"139","ES2001",1031,"vraag07","PARTICIPANT2","2","6"
"140","ES2001",1032,"vraag08","PARTICIPANT2","2","6"
"141","ES2001",1033,"vraag09","PARTICIPANT2","2","6"
"142","ES2001",1034,"vraag10","PARTICIPANT2","2","6"
"143","ES2001",1035,"vraag11","PARTICIPANT2","2","6"
"144","ES2001",1036,"vraag12","PARTICIPANT2","2","6"
"145","ES2001",1037,"vraag13","PARTICIPANT2","2","1"
"146","ES2001",1038,"vraag14","PARTICIPANT2","2","6"
"147","ES2001",1039,"vraag15","PARTICIPANT2","2","2"
"148","ES2001",1040,"vraag16","PARTICIPANT2","2","5"
"149","ES2001",1041,"vraag17","PARTICIPANT2","2",""
"150","ES2001",1042,"vraag18","PARTICIPANT2","2",""
"151","ES2001",1043,"vraag19","PARTICIPANT2","2",""
"152","ES2001",1044,"vraag20","PARTICIPANT2","2",""
"153","ES2001",1045,"vraag01","PARTICIPANT3","2","6"
"154","ES2001",1046,"vraag02","PARTICIPANT3","2","6"
"155","ES2001",1047,"vraag03","PARTICIPANT3","2","5"
"156","ES2001",1048,"vraag04","PARTICIPANT3","2","3"
"157","ES2001",1049,"vraag05","PARTICIPANT3","2","4"
"158","ES2001",1050,"vraag06","PARTICIPANT3","2","5"
"159","ES2001",1051,"vraag07","PARTICIPANT3","2","5"
"160","ES2001",1052,"vraag08","PARTICIPANT3","2","5"
"161","ES2001",1053,"vraag09","PARTICIPANT3","2","6"
"162","ES2001",1054,"vraag10","PARTICIPANT3","2","6"
"163","ES2001",1055,"vraag11","PARTICIPANT3","2","7"
"164","ES2001",1056,"vraag12","PARTICIPANT3","2","7"
"165","ES2001",1057,"vraag13","PARTICIPANT3","2","2"
"166","ES2001",1058,"vraag14","PARTICIPANT3","2","6"
"167","ES2001",1059,"vraag15","PARTICIPANT3","2","3"
"168","ES2001",1060,"vraag16","PARTICIPANT3","2","6"
"169","ES2001",1061,"vraag17","PARTICIPANT3","2",""
"170","ES2001",1062,"vraag18","PARTICIPANT3","2",""
"171","ES2001",1063,"vraag19","PARTICIPANT3","2",""
"172","ES2001",1064,"vraag20","PARTICIPANT3","2",""
"173","ES2001",1065,"vraag01","PARTICIPANT4","2","2"
"174","ES2001",1066,"vraag02","PARTICIPANT4","2","4"
"175","ES2001",1067,"vraag03","PARTICIPANT4","2","4"
"176","ES2001",1068,"vraag04","PARTICIPANT4","2","3"
"177","ES2001",1069,"vraag05","PARTICIPANT4","2","3"
"178","ES2001",1070,"vraag06","PARTICIPANT4","2","1"
"179","ES2001",1071,"vraag07","PARTICIPANT4","2","5"
"180","ES2001",1072,"vraag08","PARTICIPANT4","2","4"
"181","ES2001",1073,"vraag09","PARTICIPANT4","2","4"
"182","ES2001",1074,"vraag10","PARTICIPANT4","2","3"
"183","ES2001",1075,"vraag11","PARTICIPANT4","2","4"
"184","ES2001",1076,"vraag12","PARTICIPANT4","2","3"
"185","ES2001",1077,"vraag13","PARTICIPANT4","2","4"
"186","ES2001",1078,"vraag14","PARTICIPANT4","2","4"
"187","ES2001",1079,"vraag15","PARTICIPANT4","2","1"
"188","ES2001",1080,"vraag16","PARTICIPANT4","2","5"
"189","ES2001",1081,"vraag17","PARTICIPANT4","2",""
"190","ES2001",1082,"vraag18","PARTICIPANT4","2",""
"191","ES2001",1083,"vraag19","PARTICIPANT4","2",""
"192","ES2001",1084,"vraag20","PARTICIPANT4","2",""
"193","ES2001",1085,"vraag01","PARTICIPANT1","2","4"
"194","ES2001",1086,"vraag02","PARTICIPANT1","2","6"
"195","ES2001",1087,"vraag03","PARTICIPANT1","2","6"
"196","ES2001",1088,"vraag04","PARTICIPANT1","2","6"
"197","ES2001",1089,"vraag05","PARTICIPANT1","2","6"
"198","ES2001",1090,"vraag06","PARTICIPANT1","2","7"
"199","ES2001",1091,"vraag07","PARTICIPANT1","2","7"
"200","ES2001",1092,"vraag08","PARTICIPANT1","2","6"
"201","ES2001",1093,"vraag09","PARTICIPANT1","2","6"
"202","ES2001",1094,"vraag10","PARTICIPANT1","2","6"
"203","ES2001",1095,"vraag11","PARTICIPANT1","2","7"
"204","ES2001",1096,"vraag12","PARTICIPANT1","2","7"
"205","ES2001",1097,"vraag13","PARTICIPANT1","2","2"
"206","ES2001",1098,"vraag14","PARTICIPANT1","2","6"
"207","ES2001",1099,"vraag15","PARTICIPANT1","2","2"
"208","ES2001",1100,"vraag16","PARTICIPANT1","2","7"
"209","ES2001",1101,"vraag17","PARTICIPANT1","2",""
"210","ES2001",1102,"vraag18","PARTICIPANT1","2",""
"211","ES2001",1103,"vraag19","PARTICIPANT1","2",""
"212","ES2001",1104,"vraag20","PARTICIPANT1","2",""
"213","ES2001",1105,"vraag01","PARTICIPANT2","3","75"
"214","ES2001",1106,"vraag01","PARTICIPANT3","3","60"
"215","ES2001",1107,"vraag01","PARTICIPANT1","3","80"
"216","ES2001",1108,"vraag01","PARTICIPANT4","3","35"
"217","ES2001",1109,"vraag01","PARTICIPANT2","4","7"
"218","ES2001",1110,"vraag02","PARTICIPANT2","4","6"
"219","ES2001",1111,"vraag03","PARTICIPANT2","4","7"
"220","ES2001",1112,"vraag04","PARTICIPANT2","4","7"
"221","ES2001",1113,"vraag05","PARTICIPANT2","4","7"
"222","ES2001",1114,"vraag06","PARTICIPANT2","4","6"
"223","ES2001",1115,"vraag07","PARTICIPANT2","4","7"
"224","ES2001",1116,"vraag08","PARTICIPANT2","4","6"
"225","ES2001",1117,"vraag09","PARTICIPANT2","4","7"
"226","ES2001",1118,"vraag10","PARTICIPANT2","4","7"
"227","ES2001",1119,"vraag11","PARTICIPANT2","4","7"
"228","ES2001",1120,"vraag12","PARTICIPANT2","4","6"
"229","ES2001",1121,"vraag13","PARTICIPANT2","4","1"
"230","ES2001",1122,"vraag14","PARTICIPANT2","4","7"
"231","ES2001",1123,"vraag15","PARTICIPANT2","4","2"
"232","ES2001",1124,"vraag16","PARTICIPANT2","4","7"
"233","ES2001",1125,"vraag17","PARTICIPANT2","4",""
"234","ES2001",1126,"vraag18","PARTICIPANT2","4",""
"235","ES2001",1127,"vraag19","PARTICIPANT2","4",""
"236","ES2001",1128,"vraag20","PARTICIPANT2","4",""
"237","ES2001",1129,"vraag01","PARTICIPANT3","4","6"
"238","ES2001",1130,"vraag02","PARTICIPANT3","4","6"
"239","ES2001",1131,"vraag03","PARTICIPANT3","4","7"
"240","ES2001",1132,"vraag04","PARTICIPANT3","4","6"
"241","ES2001",1133,"vraag05","PARTICIPANT3","4","5"
"242","ES2001",1134,"vraag06","PARTICIPANT3","4","6"
"243","ES2001",1135,"vraag07","PARTICIPANT3","4","6"
"244","ES2001",1136,"vraag08","PARTICIPANT3","4","6"
"245","ES2001",1137,"vraag09","PARTICIPANT3","4","5"
"246","ES2001",1138,"vraag10","PARTICIPANT3","4","6"
"247","ES2001",1139,"vraag11","PARTICIPANT3","4","6"
"248","ES2001",1140,"vraag12","PARTICIPANT3","4","5"
"249","ES2001",1141,"vraag13","PARTICIPANT3","4","1"
"250","ES2001",1142,"vraag14","PARTICIPANT3","4","5"
"251","ES2001",1143,"vraag15","PARTICIPANT3","4","2"
"252","ES2001",1144,"vraag16","PARTICIPANT3","4","7"
"253","ES2001",1145,"vraag17","PARTICIPANT3","4",""
"254","ES2001",1146,"vraag18","PARTICIPANT3","4",""
"255","ES2001",1147,"vraag19","PARTICIPANT3","4",""
"256","ES2001",1148,"vraag20","PARTICIPANT3","4",""
"257","ES2001",1149,"vraag01","PARTICIPANT1","4","6"
"258","ES2001",1150,"vraag02","PARTICIPANT1","4","6"
"259","ES2001",1151,"vraag03","PARTICIPANT1","4","7"
"260","ES2001",1152,"vraag04","PARTICIPANT1","4","7"
"261","ES2001",1153,"vraag05","PARTICIPANT1","4","6"
"262","ES2001",1154,"vraag06","PARTICIPANT1","4","6"
"263","ES2001",1155,"vraag07","PARTICIPANT1","4","7"
"264","ES2001",1156,"vraag08","PARTICIPANT1","4","7"
"265","ES2001",1157,"vraag09","PARTICIPANT1","4","7"
"266","ES2001",1158,"vraag10","PARTICIPANT1","4","7"
"267","ES2001",1159,"vraag11","PARTICIPANT1","4","7"
"268","ES2001",1160,"vraag12","PARTICIPANT1","4","6"
"269","ES2001",1161,"vraag13","PARTICIPANT1","4","1"
"270","ES2001",1162,"vraag14","PARTICIPANT1","4","6"
"271","ES2001",1163,"vraag15","PARTICIPANT1","4","2"
"272","ES2001",1164,"vraag16","PARTICIPANT1","4","6"
"273","ES2001",1165,"vraag17","PARTICIPANT1","4",""
"274","ES2001",1166,"vraag18","PARTICIPANT1","4",""
"275","ES2001",1167,"vraag19","PARTICIPANT1","4",""
"276","ES2001",1168,"vraag20","PARTICIPANT1","4",""
"277","ES2001",1169,"vraag01","PARTICIPANT4","4","5"
"278","ES2001",1170,"vraag02","PARTICIPANT4","4","5"
"279","ES2001",1171,"vraag03","PARTICIPANT4","4","3"
"280","ES2001",1172,"vraag04","PARTICIPANT4","4","2"
"281","ES2001",1173,"vraag05","PARTICIPANT4","4","2"
"282","ES2001",1174,"vraag06","PARTICIPANT4","4","4"
"283","ES2001",1175,"vraag07","PARTICIPANT4","4","4"
"284","ES2001",1176,"vraag08","PARTICIPANT4","4","2"
"285","ES2001",1177,"vraag09","PARTICIPANT4","4","2"
"286","ES2001",1178,"vraag10","PARTICIPANT4","4","5"
"287","ES2001",1179,"vraag11","PARTICIPANT4","4","4"
"288","ES2001",1180,"vraag12","PARTICIPANT4","4","5"
"289","ES2001",1181,"vraag13","PARTICIPANT4","4","4"
"290","ES2001",1182,"vraag14","PARTICIPANT4","4","4"
"291","ES2001",1183,"vraag15","PARTICIPANT4","4","2"
"292","ES2001",1184,"vraag16","PARTICIPANT4","4","6"
"293","ES2001",1185,"vraag17","PARTICIPANT4","4",""
"294","ES2001",1186,"vraag18","PARTICIPANT4","4",""
"295","ES2001",1187,"vraag19","PARTICIPANT4","4",""
"296","ES2001",1188,"vraag20","PARTICIPANT4","4",""
"297","ES2001",1189,"vraag01","PARTICIPANT1","5","60"
"298","ES2001",1190,"vraag01","PARTICIPANT2","5","75"
"299","ES2001",1191,"vraag01","PARTICIPANT3","5","80"
"300","ES2001",1192,"vraag01","PARTICIPANT4","5","38"
"301","ES2001",1193,"vraag01","PARTICIPANT4","6","5"
"302","ES2001",1194,"vraag02","PARTICIPANT4","6","5"
"303","ES2001",1195,"vraag03","PARTICIPANT4","6","6"
"304","ES2001",1196,"vraag04","PARTICIPANT4","6","6"
"305","ES2001",1197,"vraag05","PARTICIPANT4","6","5"
"306","ES2001",1198,"vraag06","PARTICIPANT4","6","5"
"307","ES2001",1199,"vraag07","PARTICIPANT4","6","4"
"308","ES2001",1200,"vraag08","PARTICIPANT4","6","4"
"309","ES2001",1201,"vraag09","PARTICIPANT4","6","5"
"310","ES2001",1202,"vraag10","PARTICIPANT4","6","5"
"311","ES2001",1203,"vraag11","PARTICIPANT4","6","4"
"312","ES2001",1204,"vraag12","PARTICIPANT4","6","5"
"313","ES2001",1205,"vraag13","PARTICIPANT4","6","4"
"314","ES2001",1206,"vraag14","PARTICIPANT4","6","4"
"315","ES2001",1207,"vraag15","PARTICIPANT4","6","1"
"316","ES2001",1208,"vraag16","PARTICIPANT4","6","5"
"317","ES2001",1209,"vraag17","PARTICIPANT4","6",""
"318","ES2001",1210,"vraag18","PARTICIPANT4","6",""
"319","ES2001",1211,"vraag19","PARTICIPANT4","6",""
"320","ES2001",1212,"vraag20","PARTICIPANT4","6",""
"321","ES2001",1213,"vraag01","PARTICIPANT3","6","6"
"322","ES2001",1214,"vraag02","PARTICIPANT3","6","6"
"323","ES2001",1215,"vraag03","PARTICIPANT3","6","7"
"324","ES2001",1216,"vraag04","PARTICIPANT3","6","7"
"325","ES2001",1217,"vraag05","PARTICIPANT3","6","7"
"326","ES2001",1218,"vraag06","PARTICIPANT3","6","6"
"327","ES2001",1219,"vraag07","PARTICIPANT3","6","6"
"328","ES2001",1220,"vraag08","PARTICIPANT3","6","6"
"329","ES2001",1221,"vraag09","PARTICIPANT3","6","6"
"330","ES2001",1222,"vraag10","PARTICIPANT3","6","7"
"331","ES2001",1223,"vraag11","PARTICIPANT3","6","7"
"332","ES2001",1224,"vraag12","PARTICIPANT3","6","7"
"333","ES2001",1225,"vraag13","PARTICIPANT3","6","1"
"334","ES2001",1226,"vraag14","PARTICIPANT3","6","6"
"335","ES2001",1227,"vraag15","PARTICIPANT3","6","5"
"336","ES2001",1228,"vraag16","PARTICIPANT3","6","6"
"337","ES2001",1229,"vraag17","PARTICIPANT3","6",""
"338","ES2001",1230,"vraag18","PARTICIPANT3","6",""
"339","ES2001",1231,"vraag19","PARTICIPANT3","6",""
"340","ES2001",1232,"vraag20","PARTICIPANT3","6",""
"341","ES2001",1233,"vraag01","PARTICIPANT1","6","7"
"342","ES2001",1234,"vraag02","PARTICIPANT1","6","7"
"343","ES2001",1235,"vraag03","PARTICIPANT1","6","7"
"344","ES2001",1236,"vraag04","PARTICIPANT1","6","6"
"345","ES2001",1237,"vraag05","PARTICIPANT1","6","7"
"346","ES2001",1238,"vraag06","PARTICIPANT1","6","7"
"347","ES2001",1239,"vraag07","PARTICIPANT1","6","7"
"348","ES2001",1240,"vraag08","PARTICIPANT1","6","6"
"349","ES2001",1241,"vraag09","PARTICIPANT1","6","7"
"350","ES2001",1242,"vraag10","PARTICIPANT1","6","6"
"351","ES2001",1243,"vraag11","PARTICIPANT1","6","6"
"352","ES2001",1244,"vraag12","PARTICIPANT1","6","7"
"353","ES2001",1245,"vraag13","PARTICIPANT1","6","1"
"354","ES2001",1246,"vraag14","PARTICIPANT1","6","6"
"355","ES2001",1247,"vraag15","PARTICIPANT1","6","1"
"356","ES2001",1248,"vraag16","PARTICIPANT1","6","6"
"357","ES2001",1249,"vraag17","PARTICIPANT1","6",""
"358","ES2001",1250,"vraag18","PARTICIPANT1","6",""
"359","ES2001",1251,"vraag19","PARTICIPANT1","6",""
"360","ES2001",1252,"vraag20","PARTICIPANT1","6",""
"361","ES2001",1253,"vraag01","PARTICIPANT2","6","7"
"362","ES2001",1254,"vraag02","PARTICIPANT2","6","7"
"363","ES2001",1255,"vraag03","PARTICIPANT2","6","7"
"364","ES2001",1256,"vraag04","PARTICIPANT2","6","7"
"365","ES2001",1257,"vraag05","PARTICIPANT2","6","7"
"366","ES2001",1258,"vraag06","PARTICIPANT2","6","7"
"367","ES2001",1259,"vraag07","PARTICIPANT2","6","7"
"368","ES2001",1260,"vraag08","PARTICIPANT2","6","7"
"369","ES2001",1261,"vraag09","PARTICIPANT2","6","7"
"370","ES2001",1262,"vraag10","PARTICIPANT2","6","7"
"371","ES2001",1263,"vraag11","PARTICIPANT2","6","7"
"372","ES2001",1264,"vraag12","PARTICIPANT2","6","7"
"373","ES2001",1265,"vraag13","PARTICIPANT2","6","1"
"374","ES2001",1266,"vraag14","PARTICIPANT2","6","7"
"375","ES2001",1267,"vraag15","PARTICIPANT2","6","2"
"376","ES2001",1268,"vraag16","PARTICIPANT2","6","6"
"377","ES2001",1269,"vraag17","PARTICIPANT2","6",""
"378","ES2001",1270,"vraag18","PARTICIPANT2","6",""
"379","ES2001",1271,"vraag19","PARTICIPANT2","6",""
"380","ES2001",1272,"vraag20","PARTICIPANT2","6",""
"381","ES2001",1274,"vraag01","PARTICIPANT2","7","35"
"382","ES2001",1275,"vraag01","PARTICIPANT4","7","45"
"383","ES2001",1276,"vraag01","PARTICIPANT3","7","70"
"384","ES2001",1277,"vraag01","PARTICIPANT1","7","80"
"385","ES2001",1278,"vraag01","PARTICIPANT1","8","6"
"386","ES2001",1279,"vraag02","PARTICIPANT1","8","6"
"387","ES2001",1280,"vraag03","PARTICIPANT1","8","6"
"388","ES2001",1281,"vraag04","PARTICIPANT1","8","6"
"389","ES2001",1282,"vraag05","PARTICIPANT1","8","6"
"390","ES2001",1283,"vraag06","PARTICIPANT1","8","6"
"391","ES2001",1284,"vraag07","PARTICIPANT1","8","7"
"392","ES2001",1285,"vraag08","PARTICIPANT1","8","7"
"393","ES2001",1286,"vraag09","PARTICIPANT1","8","7"
"394","ES2001",1287,"vraag10","PARTICIPANT1","8","7"
"395","ES2001",1288,"vraag11","PARTICIPANT1","8","6"
"396","ES2001",1289,"vraag12","PARTICIPANT1","8","6"
"397","ES2001",1290,"vraag13","PARTICIPANT1","8","1"
"398","ES2001",1291,"vraag14","PARTICIPANT1","8","6"
"399","ES2001",1292,"vraag15","PARTICIPANT1","8","1"
"400","ES2001",1293,"vraag16","PARTICIPANT1","8","5"
"401","ES2001",1294,"vraag17","PARTICIPANT1","8",""
"402","ES2001",1295,"vraag18","PARTICIPANT1","8",""
"403","ES2001",1296,"vraag19","PARTICIPANT1","8",""
"404","ES2001",1297,"vraag20","PARTICIPANT1","8",""
"405","ES2001",1298,"vraag01","PARTICIPANT2","8","7"
"406","ES2001",1299,"vraag02","PARTICIPANT2","8","7"
"407","ES2001",1300,"vraag03","PARTICIPANT2","8","7"
"408","ES2001",1301,"vraag04","PARTICIPANT2","8","7"
"409","ES2001",1302,"vraag05","PARTICIPANT2","8","7"
"410","ES2001",1303,"vraag06","PARTICIPANT2","8","7"
"411","ES2001",1304,"vraag07","PARTICIPANT2","8","7"
"412","ES2001",1305,"vraag08","PARTICIPANT2","8","7"
"413","ES2001",1306,"vraag09","PARTICIPANT2","8","7"
"414","ES2001",1307,"vraag10","PARTICIPANT2","8","7"
"415","ES2001",1308,"vraag11","PARTICIPANT2","8","7"
"416","ES2001",1309,"vraag12","PARTICIPANT2","8","7"
"417","ES2001",1310,"vraag13","PARTICIPANT2","8","1"
"418","ES2001",1311,"vraag14","PARTICIPANT2","8","7"
"419","ES2001",1312,"vraag15","PARTICIPANT2","8","1"
"420","ES2001",1313,"vraag16","PARTICIPANT2","8","7"
"421","ES2001",1314,"vraag17","PARTICIPANT2","8",""
"422","ES2001",1315,"vraag18","PARTICIPANT2","8",""
"423","ES2001",1316,"vraag19","PARTICIPANT2","8",""
"424","ES2001",1317,"vraag20","PARTICIPANT2","8",""
"425","ES2001",1318,"vraag01","PARTICIPANT4","8","5"
"426","ES2001",1319,"vraag02","PARTICIPANT4","8","5"
"427","ES2001",1320,"vraag03","PARTICIPANT4","8","6"
"428","ES2001",1321,"vraag04","PARTICIPANT4","8","6"
"429","ES2001",1322,"vraag05","PARTICIPANT4","8","3"
"430","ES2001",1323,"vraag06","PARTICIPANT4","8","4"
"431","ES2001",1324,"vraag07","PARTICIPANT4","8","5"
